Dictionary	Ranker	Mean	SD	Failure Rate (%)
data/medium_wordle_words_todate.txt	WordFrequencyRanker(DuplicateRanker(SubstringRanker(3),100,3),"data/five_letter_freq.csv")	2.190981	0.767803	0.000000
data/medium_wordle_words_todate.txt	WordFrequencyRanker(DuplicateRanker(PositionRanker(),100,7),"data/five_letter_freq.csv")	2.140584	0.807046	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(LetterRanker(),100,7),100,7)	2.177719	0.779534	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(LetterRanker(),100,3),100,7)	2.177719	0.779534	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(SubstringRanker(2),100,7),100,7)	2.090186	0.748001	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(SubstringRanker(3),100,7),100,7)	2.188329	0.820216	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(SubstringRanker(2),100,3),100,7)	2.090186	0.748001	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(SubstringRanker(3),100,3),100,7)	2.196286	0.832807	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(PositionRanker(),100,7),100,2)	2.068966	0.739573	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(LetterRanker(),100,7),100,2)	2.151194	0.757600	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(LetterRanker(),100,3),100,2)	2.156499	0.766968	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(SubstringRanker(2),100,7),100,2)	2.079576	0.745655	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(SubstringRanker(3),100,7),100,2)	2.153846	0.789649	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(SubstringRanker(2),100,3),100,2)	2.079576	0.745655	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(SubstringRanker(3),100,3),100,2)	2.167109	0.811836	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(PositionRanker(),100,7),100,2)	2.068966	0.739573	0.000000
data/medium_wordle_words_todate.txt	CombinedRanker(0.250000,0.250000,0.250000,0.250000)	2.376658	0.710875	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(CombinedRanker(0.250000,0.250000,0.250000,0.250000),100,7)	1.984085	0.675263	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(CombinedRanker(0.250000,0.250000,0.250000,0.250000),100,2)	2.000000	0.679366	0.000000
data/medium_wordle_words_todate.txt	DuplicateRanker(CombinedRanker(0.250000,0.250000,0.250000,0.250000),100,3)	1.986737	0.681187	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(CombinedRanker(0.250000,0.250000,0.250000,0.250000),100,2),100,7)	2.124668	0.769341	0.000000
data/medium_wordle_words_todate.txt	VowelRanker(DuplicateRanker(CombinedRanker(0.250000,0.250000,0.250000,0.250000),100,2),100,2)	2.098143	0.730845	0.000000
data/medium_wordle_words_todate.txt	WordFrequencyRanker(DuplicateRanker(CombinedRanker(0.250000,0.250000,0.250000,0.250000),100,2),"data/five_letter_freq.csv")	2.201592	0.782228	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(LetterRanker(),100,6)	1.957560	0.641866	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(SubstringRanker(2),100,6)	2.092838	0.709449	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(SubstringRanker(3),100,6)	2.220159	0.696194	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(LetterRanker(),100,3)	1.989390	0.667466	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(SubstringRanker(2),100,3)	2.103723	0.731064	0.265252
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(SubstringRanker(3),100,3)	2.220159	0.696194	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(LetterRanker(),100,4)	1.960212	0.644098	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(SubstringRanker(2),100,4)	2.092838	0.709449	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(SubstringRanker(3),100,4)	2.220159	0.696194	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(PositionRanker(),100,6)	2.007958	0.765600	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(PositionRanker(),100,3)	2.015915	0.770656	0.000000
data/medium_wordle_words_todate.txt	ProgressDuplicateRanker(PositionRanker(),100,4)	2.010610	0.767298	0.000000
